pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-01	Using an artificial intelligence tool incorporating natural language processing to identify patients with a diagnosis of ANCA-associated vasculitis in electronic health records	Comput Biol Med	Because anti-neutrophil cytoplasmatic antibody (ANCA)-associated vasculitis (AAV) is a rare, life-threatening, auto-immune disease, conducting research is difficult but essential. A long-lasting challenge is to identify rare AAV patients within the electronic-health-record (EHR)-system to facilitate real-world research. Artificial intelligence (AI)-search tools using natural language processing (NLP) for text-mining are increasingly postulated as a solution.	van Leeuwen JR, Penne EL, Rabelink T, Knevel R, Teng YKO. (2024) &quot;Using an artificial intelligence tool incorporating natural language processing to identify patients with a diagnosis of ANCA-associated vasculitis in electronic health records&quot; <i>Comput Biol Med. 2024 Jan;168:107757. doi: 10.1016/j.compbiomed.2023.107757. Epub 2023 Nov 25.</i>	using-an-artificial-intelligence-tool-incorporating-natural-language-processing-to-identify-patients-with-a-diagnosis-of-anca-associated-vasculitis-in-electronic-health-records	https://doi.org/10.1016/j.compbiomed.2023.107757
2024 Jun 4	RPA3-UMAD1 rs12702634 and rheumatoid arthritis-associated interstitial lung disease in European ancestry	Rheumatol Adv Pract	Recently, a genome-wide association study identified an association between RA-associated interstitial lung disease (ILD) and RPA3-UMAD1 rs12702634 in the Japanese population, especially for patients with a usual interstitial pneumonia (UIP) pattern. We aimed to replicate this association in a European population and test for interaction with MUC5B rs35705950.	Juge PA, Sparks JA, Gazal S, Ebstein E, Borie R, Debray MP, Kannengiesser C, McDermott GC, Cui J, Hayashi K, Doyle TJ, van Moorsel CHM, van der Vis JJ, Grutters JC, Knevel R, Heckert SL, Vasarmidi E, Antoniou KM, van der Helm van Mil AHM, Boileau C, Crestani B, Dieud&eacute; P. (2024) &quot;RPA3-UMAD1 rs12702634 and rheumatoid arthritis-associated interstitial lung disease in European ancestry&quot; <i>Rheumatol Adv Pract. 2024 Jun 4;8(2):rkae059. doi: 10.1093/rap/rkae059. eCollection 2024.</i>	rpa3-umad1-rs12702634-and-rheumatoid-arthritis-associated-interstitial-lung-disease-in-european-ancestry	https://doi.org/10.1093/rap/rkae059
2024-05	Finding the Right Fit for Genes in Rheumatology Clinical Care	Arthritis Rheumatol	DOI: 10.1002/art.42769PMID: 38057135 [Indexed for MEDLINE]	Vassy JL, Knevel R, Liao KP. (2024) &quot;Finding the Right Fit for Genes in Rheumatology Clinical Care&quot; <i>Arthritis Rheumatol. 2024 May;76(5):675-676. doi: 10.1002/art.42769. Epub 2024 Jan 9.</i>	finding-the-right-fit-for-genes-in-rheumatology-clinical-care	https://doi.org/10.1002/art.42769
2025 Apr 18	The journey of patients with musculoskeletal complaints in Europe: a cross-sectional European survey	Rheumatol Int	Rheumatic and musculoskeletal diseases (RMDs) are highly prevalent and place a significant socioeconomic burden on healthcare systems. However, their diagnosis and management remain suboptimal. This study aimed to analyze healthcare-seeking behaviors, key touchpoints, access barriers, and diagnostic pathways for individuals experiencing initial or progressive symptoms of RMDs across European countries. Understanding these differences is crucial for improving early access to specialized care. A cross-sectional online survey was conducted with 141 participants from seven European countries, including 67 rheumatologists and 39 general practitioners (GPs). The survey assessed initial healthcare-seeking behaviors, delays in diagnosis, and perceived barriers to specialized rheumatology care. Descriptive and inferential statistical methods were used for data analysis. The survey indicated that individuals experiencing RMD symptoms primarily seek information through internet research and GP consultations. Despite their role as primary gatekeepers, GPs' knowledge of RMDs was generally perceived as moderate to low. Significant disparities in access to rheumatological diagnostics, time to diagnosis, and treatment, coupled with organizational barriers between primary and specialist care, were reported across most countries. Spanish participants reported the longest diagnostic delays, while Swedish respondents experienced the shortest. Additionally, access to sacroiliac MRI was limited in Hungary and Spain, whereas glucocorticoids were widely available across all countries according to the participants. The study also revealed that early arthritis clinics were most accessible in the UK from the participants' perspectives. Significant variations in healthcare access for patients with RMDs persist across Europe. Strategies to enhance early detection, including GP education and improved specialist accessibility, are essential to optimizing patient outcomes.	Wagner M, Ot&oacute;n T, Muehlensiepen F, Stratingh K, Loza E, Knevel R, Carmona L. (2025) &quot;The journey of patients with musculoskeletal complaints in Europe: a cross-sectional European survey&quot; <i>Rheumatol Int. 2025 Apr 18;45(5):107. doi: 10.1007/s00296-025-05863-x.</i>	the-journey-of-patients-with-musculoskeletal-complaints-in-europe-a-cross-sectional-european-survey	https://doi.org/10.1007/s00296-025-05863-x
2025-08	Rheumatoid arthritis-associated interstitial lung disease in countries across the world	Semin Arthritis Rheum	We aimed to describe the incidence of RA-ILD in various countries worldwide, and to explore its association with RA disease activity.	Heckert SL, Maarseveen TD, Marges ER, Chopra A, Vega-Morales D, Toit RD, Winchow LL, Govind N, Toro-Guti&eacute;rrez CE, Knevel R, van der Helm-van Mil AH, Huizinga TW, Allaart CF, Bergstra SA. (2025) &quot;Rheumatoid arthritis-associated interstitial lung disease in countries across the world&quot; <i>Semin Arthritis Rheum. 2025 Aug;73:152719. doi: 10.1016/j.semarthrit.2025.152719. Epub 2025 Apr 12.</i>	rheumatoid-arthritis-associated-interstitial-lung-disease-in-countries-across-the-world	https://doi.org/10.1016/j.semarthrit.2025.152719
2025-08	Time-independent disease state identification defines distinct trajectories determined by localised vs systemic inflammation in patients with early rheumatoid arthritis	Ann Rheum Dis	Patients with rheumatoid arthritis (RA) display different trajectories towards improvement of disease. We aimed to disentangle the heterogeneity of RA disease trajectories from the first clinical visit onwards using graph-based pseudotime analysis.	Steinz N, Maarseveen TD, van den Akker EB, Cope AP, Isaacs JD, Winkler AR, Huizinga TWJ, Abraham Y, Knevel R. (2025) &quot;Time-independent disease state identification defines distinct trajectories determined by localised vs systemic inflammation in patients with early rheumatoid arthritis&quot; <i>Ann Rheum Dis. 2025 Aug;84(8):1301-1312. doi: 10.1016/j.ard.2025.04.011. Epub 2025 May 9.</i>	time-independent-disease-state-identification-defines-distinct-trajectories-determined-by-localised-vs-systemic-inflammation-in-patients-with-early-rheumatoid-arthritis	https://doi.org/10.1016/j.ard.2025.04.011
2025 Feb 14	Improving musculoskeletal care with AI enhanced triage through data driven screening of referral letters	NPJ Digit Med	Musculoskeletal complaints account for 30% of GP consultations, with many referred to rheumatology clinics via letters. This study developed a Machine Learning (ML) pipeline to prioritize referrals by identifying rheumatoid arthritis (RA), osteoarthritis, fibromyalgia, and patients requiring long-term care. Using 8044 referral letters from 5728 patients across 12 clinics, we trained and validated ML models in two large centers and tested their generalizability in the remaining ten. The models were robust, with RA achieving an AUC-ROC of 0.78 (CI: 0.74-0.83), osteoarthritis 0.71 (CI: 0.67-0.74), fibromyalgia 0.81 (CI: 0.77-0.85), and chronic follow-up 0.63 (CI: 0.61-0.66). The RA-classifier outperformed manual referral systems, as it prioritised RA over non-RA cases (P&thinsp;<&thinsp;0.001), while the manual referral system could not differentiate between the two. The other classifiers showed similar prioritisation improvements, highlighting the potential to enhance care efficiency, reduce clinician workload, and facilitate earlier specialized care. Future work will focus on building clinical decision-support tools.	Maarseveen TD, Glas HK, Veris-van Dieren J, van den Akker E, Knevel R. (2025) &quot;Improving musculoskeletal care with AI enhanced triage through data driven screening of referral letters&quot; <i>NPJ Digit Med. 2025 Feb 14;8(1):98. doi: 10.1038/s41746-025-01495-4.</i>	improving-musculoskeletal-care-with-ai-enhanced-triage-through-data-driven-screening-of-referral-letters	https://doi.org/10.1038/s41746-025-01495-4
2025-07	Post-translationally modified proteins bind and activate complement with implications for cellular uptake and autoantibody formation	J Autoimmun	Autoimmune diseases, such as rheumatoid arthritis (RA), are characterized by the presence of autoantibodies including those targeting self-proteins modified by post-translational modifications (PTMs). The complement system is known for its role in innate immune defense, but also in clearing debris and induction of antibody responses. We therefore hypothesized that complement could directly bind to PTMs and target PTM-modified proteins for clearance, or stimulate (chronic) inflammation and development of anti-PTM autoimmunity.	van den Beukel MD, Zhang L, van der Meulen S, Borggreven NV, Nugteren S, Brouwer MC, Pouw RB, Gelderman KA, de Ru AH, Janssen GMC, van Veelen PA, Knevel R, Parren PWHI, Trouw LA. (2025) &quot;Post-translationally modified proteins bind and activate complement with implications for cellular uptake and autoantibody formation&quot; <i>J Autoimmun. 2025 Jul;155:103444. doi: 10.1016/j.jaut.2025.103444. Epub 2025 Jun 23.</i>	post-translationally-modified-proteins-bind-and-activate-complement-with-implications-for-cellular-uptake-and-autoantibody-formation	https://doi.org/10.1016/j.jaut.2025.103444
2025 Jun 13	Autoantibody clusters in rheumatoid arthritis are not driven by antigen specificity or isotype	RMD Open	Autoantibodies are a key feature of rheumatoid arthritis (RA). They can be detected years before disease onset, but it is unknown if there is any pattern in the co-occurrence of antigen recognition or isotype profiles. A common signature could point to a unique initial trigger for autoantibody development. Therefore, we sought to determine if there is a pattern in antigen or isotype reactivity in pre-symptomatic cases and established RA.	van Mourik AG, Johansson L, van Wesemael TJ, Maurits MP, Kokkonen H, R&ouml;nnelid J, Knevel R, Toes REM, Rantap&auml;&auml;-Dahlqvist S, van der Woude D. (2025) &quot;Autoantibody clusters in rheumatoid arthritis are not driven by antigen specificity or isotype&quot; <i>RMD Open. 2025 Jun 13;11(2):e005291. doi: 10.1136/rmdopen-2024-005291.</i>	autoantibody-clusters-in-rheumatoid-arthritis-are-not-driven-by-antigen-specificity-or-isotype	https://doi.org/10.1136/rmdopen-2024-005291
2025 May 23	Rheumatic? A diagnostic decision support tool for individuals suspecting rheumatic diseases: Mixed-methods usability and acceptability study	BMC Rheumatol	The early diagnosis of inflammatory rheumatic diseases (IRDs) is of paramount importance in order to prevent irreversible damage to joints and to optimize treatment outcomes. Nevertheless, conventional care pathways frequently entail diagnostic delays spanning several months. Symptom checkers (SCs) have the potential to provide a solution by offering validated symptom assessments, improving triage systems and expediting diagnostic evaluations. The objective of this mixed-methods study is to assess the usability and acceptability of the SC Rheumatic? among individuals with suspected rheumatic diseases.	Jakobi S, Boy K, Wagner M, May S, Temiz A, Liphardt AM, Araujo E, Carmona L, Knevel R, Schett G, Knitza J, Muehlensiepen F, Morf H. (2025) &quot;Rheumatic? A diagnostic decision support tool for individuals suspecting rheumatic diseases: Mixed-methods usability and acceptability study&quot; <i>BMC Rheumatol. 2025 May 23;9(1):59. doi: 10.1186/s41927-025-00507-w.</i>	rheumatic-a-diagnostic-decision-support-tool-for-individuals-suspecting-rheumatic-diseases-mixed-methods-usability-and-acceptability-study	https://doi.org/10.1186/s41927-025-00507-w
2025 Oct 23	Location and amount of joint involvement differentiates rheumatoid arthritis into different clinical subsets	NPJ Digit Med	Rheumatoid arthritis (RA) is a heterogeneous disease with variable symptoms, prognosis, and treatment response, necessitating refined patient classification. We applied multimodal deep learning and clustering to identify distinct RA phenotypes using baseline clinical data from 1,387 patients in the Leiden Rheumatology clinic. Four Joint Involvement Patterns (JIP) emerged: foot-predominant arthritis, seropositive oligoarticular disease, seronegative hand arthritis, and polyarthritis. Findings were validated in clinical trial data (n&thinsp;=&thinsp;307) and an independent secondary care cohort (n&thinsp;=&thinsp;515). Clusters showed high stability and significant differences in remission rates (P&thinsp;=&thinsp;0.007) and methotrexate failure (P&thinsp;<&thinsp;0.001). JIP-hand patients had superior outcomes (particularly in ACPA-positive patients) versus JIP-foot (HR:0.37, P&thinsp;<&thinsp;0.001) and JIP-poly (HR:0.33, P&thinsp;=&thinsp;0.005), independent of baseline disease activity and clinical markers. Synovial histology analysis (n&thinsp;=&thinsp;194) revealed distinct inflammatory patterns across clusters, hinting at different underlying biological mechanisms. These validated RA phenotypes based on joint involvement patterns may enable targeted research into disease mechanisms and personalized treatment strategies.	Maarseveen TD, Maurits MP, Coletto LA, Perniola S, B&ouml;hringer S, Steinz N, Bergstra SA, Bruno D, Gigante MR, Pacucci VA, Petricca L, Boxma-de Klerk B, Glas HK, Di Mario C, Campobasso D, Tolusso B, Veris-van Dieren J, van der Helm-van Mil AHM, Gremese E, D'Agostino MA, Reinders MJT, Gessi M, Huizinga TWJ, Alivernini S, van den Akker EB, Knevel R. (2025) &quot;Location and amount of joint involvement differentiates rheumatoid arthritis into different clinical subsets&quot; <i>NPJ Digit Med. 2025 Oct 23;8(1):623. doi: 10.1038/s41746-025-01997-1.</i>	location-and-amount-of-joint-involvement-differentiates-rheumatoid-arthritis-into-different-clinical-subsets	https://doi.org/10.1038/s41746-025-01997-1
2025 Sep 10	Let's ask the patient: disease prediction based on patients' symptom descriptions in free text	Rheumatol Adv Pract	This study evaluates the value self-reported free-text symptom descriptions for supporting diagnostic decisions in osteoarthritis (OA), fibromyalgia (FM) and immune-mediated rheumatic diseases (imRD) using natural language processing (NLP) and machine learning (ML).	P&eacute;rez-Sancrist&oacute;bal I, Steinz N, Qin L, Maarseveen T, Zegers F, Bislawska Axn&auml;s B, Rodr&iacute;guez-Rodr&iacute;guez L, Knevel R. (2025) &quot;Let's ask the patient: disease prediction based on patients' symptom descriptions in free text&quot; <i>Rheumatol Adv Pract. 2025 Sep 10;9(4):rkaf103. doi: 10.1093/rap/rkaf103. eCollection 2025.</i>	let-s-ask-the-patient-disease-prediction-based-on-patients-symptom-descriptions-in-free-text	https://doi.org/10.1093/rap/rkaf103
2025-09	Systematic review and independent validation of genetic factors of radiographic outcome in rheumatoid arthritis identifies a genome-wide association with CARD9	Ann Rheum Dis	This study aimed to investigate non-HLA genetic mechanisms underlying radiographic severity in rheumatoid arthritis (RA).	Sharma SD, Hum RM, Nair N, Marshall L, Storrie A, Bowes J, MacGregor A, Yates M, Morris AP, Verstappen S, Barton A, van Steenbergen H, Knevel R, van der Helm-van Mil A, Viatte S. (2025) &quot;Systematic review and independent validation of genetic factors of radiographic outcome in rheumatoid arthritis identifies a genome-wide association with CARD9&quot; <i>Ann Rheum Dis. 2025 Sep;84(9):1469-1483. doi: 10.1016/j.ard.2025.04.007. Epub 2025 May 8.</i>	systematic-review-and-independent-validation-of-genetic-factors-of-radiographic-outcome-in-rheumatoid-arthritis-identifies-a-genome-wide-association-with-card9	https://doi.org/10.1016/j.ard.2025.04.007
2026-07-24	Rheumatoid arthritis susceptibility genes show pathotype-specific expression in synovial tissue of patients with early treatment-naïve RA.	Ann Rheum Dis	Rheumatoid arthritis (RA) exhibits clinical and biological heterogeneity, with synovial tissue stratified into histological pathotypes: lympho-myeloid, diffuse-myeloid, and pauci-immune fibroid. Although genome-wide association studies (GWAS) have uncovered RA risk loci, how genetic risk relates to synovial immunopathology remains unclear. To better understand how genetic predisposition may shape divergent early disease mechanisms, we characterised the expression patterns of GWAS-identified RA susceptibility genes and related rheumatic diseases across the synovial pathotypes. Synovial RNA sequencing of patients with early RA (Pathobiology of Early Arthritis Cohort [PEAC] [N = 87] and Flinders [N = 18]) was used for differential gene expression between pathotypes, and pathway enrichment analyses were performed using GWAS-identified susceptibility genes for RA, osteoarthritis (OA), ankylosing spondylitis, psoriatic arthritis, and systemic lupus erythematosus. RA susceptibility gene expression in synovial tissue separated patients by pathotype and correlated with markers of disease activity. RA susceptibility genes were significantly enriched among genes upregulated in lympho-myeloid synovium and linked to lymphocyte activation and differentiation pathways. In contrast, OA susceptibility genes were upregulated in diffuse-myeloid and fibroid synovium. Both patterns were most pronounced in anticitrullinated protein antibody (ACPA)-positive and directionally consistent in ACPA-negative patients. Expression of RA susceptibility genes is not evenly distributed across synovial pathotypes but is strongly biased towards the lympho-myeloid pathotype, indicating that current GWAS signals preferentially capture immune-driven disease mechanisms. Enrichment of OA susceptibility genes in diffuse-myeloid and fibroid pathotypes, even among ACPA-positive patients, suggests shared biological features between autoimmune and noninflammatory degenerative joint diseases in certain RA subtypes. Synovial pathotype stratification is therefore essential for interpreting genetic risk and understanding disease heterogeneity.	"den Hond IC, Reinders MJT, Lewis MJ, Rivellese F, Pitzalis C, Wong SW, Wechalekar MD, Knevel R, van den Akker EB. (2026) ""Rheumatoid arthritis susceptibility genes show pathotype-specific expression in synovial tissue of patients with early treatment-naïve RA."" <i>Ann Rheum Dis.</i> doi: 10.1016/j.ard.2026.06.032."	rheumatoid-arthritis-susceptibility-genes-show-pathotype-specific-expression-in-synovial-tissue-of-patients-with-early-treatment-na-ve-ra	https://doi.org/10.1016/j.ard.2026.06.032
2026-02	Advances in AI-based patient stratification for rheumatic diseases.	Nat Rev Rheumatol		"Knevel R. (2026) ""Advances in AI-based patient stratification for rheumatic diseases."" <i>Nat Rev Rheumatol.</i> doi: 10.1038/s41584-025-01337-3."	advances-in-ai-based-patient-stratification-for-rheumatic-diseases	https://doi.org/10.1038/s41584-025-01337-3
2026-06-22	Referral pathways and duration of care for musculoskeletal complaints across Europe: an analysis of primary and secondary care.	Ann Rheum Dis	The objective of the study is to compare care pathways of patients with musculoskeletal (MSK) complaints-from first presentation in primary care to referral and follow-up in rheumatology-across 5 European healthcare systems, and to explore how healthcare system characteristics influence these pathways. Routinely collected healthcare data from 5 European countries (UK, Sweden, the Netherlands, Spain, and Hungary) were analysed. Primary care data included > 4 million adults with at least 1 MSK encounter, and secondary rheumatology data included > 600,000 patients. Primary care consultation rates, referral rates to specialist care, and rheumatology follow-up duration were compared across countries. Healthcare characteristics were extracted from the literature. The distribution of MSK complaints in primary care was similar across countries, with 25% to 30% of residents visiting their general practitioner annually for an MSK complaint (UK data not available). In contrast, referral of such patients with MSK complaints to rheumatology varied considerably (5%-38%). Among those referred, 46% to 70% were discharged within 3 months, whereas only 13% to 43% remained in long-term rheumatology care. We observed that countries with a high proportion of sustained long-term rheumatology care (UK and Sweden) had lower referral rates, fewer rheumatologists per capita, and employed a selective triaging system, whereas countries where referrals more frequently resulted in short-term rheumatology care (the Netherlands, Spain, and Hungary) had higher referral rates and employed nonselective triaging. Substantial cross-country variation exists in the management of MSK complaints. Although primary care MSK presentations are similar, referral rates and the patient-mix reaching rheumatology differ widely between countries-an important consideration for developing cross-national clinical guidelines and diagnostic tools.	"Gomon G, Raffray M, Betancort Rodríguez C, Misák Á, Struik L, le Roux P, Perez-Sancristobal I, Curiel Manzanas S, Polentinos-Castro E, Del Cura González MI, Kováts T, Prieto-Alhambra D, Mook-Kanamori D, Westerlind H, Majnik J, Nagy G, Pratt A, Schiphof D, Rodriguez-Rodriguez L, le Cessie S, Askling J, Knevel R. (2026) ""Referral pathways and duration of care for musculoskeletal complaints across Europe: an analysis of primary and secondary care."" <i>Ann Rheum Dis.</i> doi: 10.1016/j.ard.2026.05.011."	referral-pathways-and-duration-of-care-for-musculoskeletal-complaints-across-europe-an-analysis-of-primary-and-secondary-care	https://doi.org/10.1016/j.ard.2026.05.011
2026-04	Work smarter, not harder: achieve expert-level diagnosis extraction from medical records with optimal prompting of large language models.	Ann Rheum Dis		"Maarseveen TD, Selani D, Steinz N, Ten Brinck R, Glas HK, Veris-van Dieren J, Reinders MJT, van den Akker EB, Knevel R. (2026) ""Work smarter, not harder: achieve expert-level diagnosis extraction from medical records with optimal prompting of large language models."" <i>Ann Rheum Dis.</i> doi: 10.1016/j.ard.2025.11.001."	work-smarter-not-harder-achieve-expert-level-diagnosis-extraction-from-medical-records-with-optimal-prompting-of-large-language-models	https://doi.org/10.1016/j.ard.2025.11.001
2026-07-11	How do general practitioners diagnose and refer potential rheumatic musculoskeletal complaints? A scoping review.	Clin Rheumatol	Timely diagnosis and referral of rheumatic and musculoskeletal diseases (RMDs) remain challenging in primary care, with substantial diagnostic delays and a high proportion of rheumatology referrals involving patients without inflammatory rheumatic disease. To examine the diagnostic trajectory of patients presenting with RMD-related complaints, we conducted a scoping review. We defined the diagnostic trajectory as the sequence of diagnostic considerations, investigations, management decisions, and referrals from first presentation to diagnosis or specialist referral. Across 47 included studies, early presentations were heterogeneous and non-specific, often leading to repeated consultations and diagnostic revisions. The underlying condition was frequently not suspected initially, requiring multiple visits before it was considered. General practitioners demonstrated reasonable knowledge of inflammatory features, but documentation of these features in routine electronic health records was often incomplete. Laboratory and imaging investigations were widely used and strongly influenced decision-making, functioning as objective gatekeeping tools for referral despite limited diagnostic yield. Marked variation was found between countries in referral patterns and investigations used, suggesting an important role for healthcare system structure in shaping diagnostic trajectories. The evidence base was constrained by predominantly narrow disease-specific populations and few studies capturing the full diagnostic pathway from primary care presentation to specialist diagnosis.Overall, our findings indicate that delayed diagnosis of RMDs reflects knowledge gaps, the ambiguity of early disease, and reliance on objective investigations. Efforts to improve clinical decision-making for early diagnosis and timely referral require consideration of the non-specific, early-stage nature of RMDs in primary care, longitudinal clinical information, and differences between healthcare systems.	"Gomon G, Otón T, Carmona L, le Cessie S, Knevel R. (2026) ""How do general practitioners diagnose and refer potential rheumatic musculoskeletal complaints? A scoping review."" <i>Clin Rheumatol.</i> doi: 10.1007/s10067-026-08282-w."	how-do-general-practitioners-diagnose-and-refer-potential-rheumatic-musculoskeletal-complaints-a-scoping-review	https://doi.org/10.1007/s10067-026-08282-w
2026-07	Hand-dominant joint involvement pattern associates with favourable, and polyarthritis with unfavourable, treatment response to both csDMARDs and bDMARDs in early rheumatoid arthritis: a combined analysis of NORD-STAR and BeSt trials.	Ann Rheum Dis	To investigate the association between joint involvement pattern (JIP) subgroups and treatment responses to conventional synthetic disease-modifying antirheumatic drugs (csDMARDs) and biological disease-modifying antirheumatic drugs (bDMARDs), and to compare the impact of JIP subgroups with other clinical parameters in treatment-naïve patients with early rheumatoid arthritis (RA). An individual patient data meta-analysis was conducted using 2 randomised controlled trials, NOrdic Rheumatic Diseases Strategy Trials And Registries (NORD-STAR) and Behandel-Strategieën (BeSt), including 1250 treatment-naïve patients with early RA. JIP subgroup assignment was based on 4 previously identified subgroups defined by baseline clinical characteristics, primarily joint involvement in the 66/68 joint scheme. Treatment outcomes were measured using the longitudinal Clinical Disease Activity Index (CDAI) and other disease activity indices through week 48. Associations of the JIP subgroups and other clinical predictors were evaluated using a mixed-model analysis. Patients with a hand-dominant JIP (JIP-Hand) showed significantly better CDAI scores after treatment (Beta for CDAI = -1.4 [95% CI, -2.3 to -0.55]; p = .0016), whereas those with a polyarthritis pattern (JIP-Poly) exhibited worse outcomes (Beta = 0.95 [95% CI, 0.064-1.8]; p = .035). Female sex was also associated with worse CDAI scores (Beta = 1.2 [95% CI, 0.40-2.0]; p = .0031), whereas anticitrullinated protein antibodies did not show a significant association (Beta = 0.19 [95% CI, -0.69 to 1.1]; p = .67). When compared across groups, csDMARDs and combined bDMARDs were similarly effective in the respective JIP subgroups (interaction p > .10). In early RA, csDMARD and bDMARD treatments resulted in the greatest improvement in disease activity in JIP-Hand and the least improvement in JIP-Poly.	"Nagafuchi Y, Maarseveen TD, Lend K, Rudin A, Gudbjornsson B, Nordström D, Haavardsholm EA, Gröndal G, Lampa J, Petersen KH, Heiberg MS, Hetland ML, Nurmohamed M, Østergaard M, van Vollenhoven R, Uhlig T, Sokka-Isler T, van den Akker EB, Huizinga TWJ, Bergstra SA, Knevel R. (2026) ""Hand-dominant joint involvement pattern associates with favourable, and polyarthritis with unfavourable, treatment response to both csDMARDs and bDMARDs in early rheumatoid arthritis: a combined analysis of NORD-STAR and BeSt trials."" <i>Ann Rheum Dis.</i> doi: 10.1016/j.ard.2026.02.005."	hand-dominant-joint-involvement-pattern-associates-with-favourable-and-polyarthritis-with-unfavourable-treatment-response-to-both-csdmards-and-bdmards-in-early-rheumatoid-arthritis-a-combined-analysis-of-nord-star-and-best-trials	https://doi.org/10.1016/j.ard.2026.02.005
2026-06	The journey of Europeans with musculoskeletal complaints: the creation of the SPIDeRR's personas.	EULAR Rheumatol Open	The Stratification of Patients Using Advanced Integrative Modelling of Data Routinely Acquired for Diagnosing Rheumatic Complaints (SPIDeRR) project aims to improve the patient journey for individuals with musculoskeletal (MSK) complaints due to rheumatic and musculoskeletal diseases (RMDs). The primary objective was to understand patients' experiences navigating the healthcare system to achieve timely diagnosis and treatment for RMDs. Secondary objectives included identifying challenges and opportunities for implementing digital tools for help seeking and diagnosis, thus enhancing access to appropriate treatments. Based on the patient experience mapping framework, 3 substudies were conducted as follows: (i) a systematic review and stakeholder surveys to identify key stages and touchpoints; (ii) focus groups to gather additional insights; and (iii) synthesis of findings into visual maps and personas highlighting gaps and potential solutions. Substudy 1 (36 studies and 247 survey participants) revealed that navigating the healthcare systems in Europe is complex, facing significant barriers, such as limited specialist access, knowledge gaps, and inconsistent treatment pathways for people with RMDs. Substudy 2 (28 participants with and without RMDs) found that initial symptom management may delay proper care, multiple emotions emerge while waiting for a solution, and preferences for direct specialist access vs general practitioner gatekeeping vary depending on individual and healthcare system. Substudy 3 developed visual representations of 5 evocative patient journeys, outlining stages, obstacles, interactions, and emotions. The journey of Europeans with MSK complaints is intricate and country specific, posing challenges for nontailored solutions. Personalised digital tools, improved healthcare provider education, and efficient communication between care levels are recommended to enhance the patient experience and improve outcomes for individuals with RMDs.	"Otón T, Muehlensiepen F, Knevel R, Villalobos-Quesada MJ, Axnäs BB, Morf H, Stratingh K, Pérez M, Loza E, Carmona L. (2026) ""The journey of Europeans with musculoskeletal complaints: the creation of the SPIDeRR's personas."" <i>EULAR Rheumatol Open.</i> doi: 10.1016/j.ero.2026.100177."	the-journey-of-europeans-with-musculoskeletal-complaints-the-creation-of-the-spiderr-s-personas	https://doi.org/10.1016/j.ero.2026.100177
2026	Attrition and representativeness in development and validation of online symptom checkers-a case study on the Rheumatic? Questionnaire.	Front Artif Intell	Online symptom checkers are often developed and validated on data subject to self-selection and selective attrition, potentially introducing biases in prediction models. To assess recruitment, selection, and attrition patterns in a large Dutch online symptom checker for musculoskeletal complaints and to evaluate potential biases by comparing participant characteristics across recruitment sources and with external target populations. Using data from the online Dutch  Rheumatic ? Questionnaire on musculoskeletal complaints, we compared baseline characteristics and key self-reported symptoms between responders to the follow-up survey and nonresponders. The survey responders were furthermore compared according to source of recruitment to the questionnaire, i.e., via primary care clinics, secondary care clinics, or via different online sources. Sex, age and BMI distributions from the total study group were compared to external data of potential target populations of primary and secondary care patients within the Netherlands. The total study group of answers to the questionnaire comprised 31,457 responders, of which 50% ( n  = 15,591) responded to the follow-up survey. Study participants were predominantly female (76%), middle-aged (one-third 50-60 years), never-smokers (66%), and overweight. While participants recruited through healthcare settings resembled target populations, follow-up survey responders were older, had more rheumatic diagnoses (49% vs. 32%), and reported more symptoms than non-responders. Participant characteristics varied by recruitment source, with social media attracting younger females while healthcare routes reached more diverse populations with varying symptom presentations. Patterns of recruitment and attrition produced differences in participant characteristics. Healthcare-based recruitment yielded participants resembling intended target populations, and follow-up survey responders differed on some points from nonresponders. Awareness of these selection processes is essential when using real-world symptom checker data for model development.	"Zegers FD, Qin L, Selani D, Gomon G, Maarseveen T, Glas K, van Tubergen A, Ruiterman YG, Reinders M, van den Akker E, de Jong CB, Klareskog L, Axnäs B, Bos R, le Cessie S, Knevel R. (2026) ""Attrition and representativeness in development and validation of online symptom checkers-a case study on the Rheumatic? Questionnaire."" <i>Front Artif Intell.</i> doi: 10.3389/frai.2026.1815241."	attrition-and-representativeness-in-development-and-validation-of-online-symptom-checkers-a-case-study-on-the-rheumatic-questionnaire	https://doi.org/10.3389/frai.2026.1815241
